"","group","data","n","Age"
"1"," normal blood","Abelson et al.",817,58.6
"2"," normal blood","Abelson et al.",817,55.2
"3"," normal blood","Abelson et al.",817,60.8
"4"," normal blood","Abelson et al.",817,62.2
"5"," normal blood","Abelson et al.",817,62.6
"6"," normal blood","Abelson et al.",817,62.4
"7"," normal blood","Abelson et al.",817,62.4
"8"," normal blood","Abelson et al.",817,55.3
"9"," normal blood","Abelson et al.",817,55
"10"," normal blood","Abelson et al.",817,51.4
"11"," normal blood","Abelson et al.",817,52
"12"," normal blood","Abelson et al.",817,49.1
"13"," normal blood","Abelson et al.",817,46
"14"," normal blood","Abelson et al.",817,46.8
"15"," normal blood","Abelson et al.",817,46.2
"16"," normal blood","Abelson et al.",817,56.1
"17"," normal blood","Abelson et al.",817,57.1
"18"," normal blood","Abelson et al.",817,41.1
"19"," normal blood","Abelson et al.",817,41.6
"20"," normal blood","Abelson et al.",817,41.7
"21"," normal blood","Abelson et al.",817,41.6
"22"," normal blood","Abelson et al.",817,63.7
"23"," normal blood","Abelson et al.",817,63.7
"24"," normal blood","Abelson et al.",817,50
"25"," normal blood","Abelson et al.",817,49.8
"26"," normal blood","Abelson et al.",817,57.3
"27"," normal blood","Abelson et al.",817,57.9
"28"," normal blood","Abelson et al.",817,62.3
"29"," normal blood","Abelson et al.",817,55
"30"," normal blood","Abelson et al.",817,55.4
"31"," normal blood","Abelson et al.",817,55.7
"32"," normal blood","Abelson et al.",817,49.5
"33"," normal blood","Abelson et al.",817,58.2
"34"," normal blood","Abelson et al.",817,58.7
"35"," normal blood","Abelson et al.",817,59.3
"36"," normal blood","Abelson et al.",817,58.1
"37"," normal blood","Abelson et al.",817,58.7
"38"," normal blood","Abelson et al.",817,54.3
"39"," normal blood","Abelson et al.",817,55
"40"," normal blood","Abelson et al.",817,50.4
"41"," normal blood","Abelson et al.",817,50.2
"42"," normal blood","Abelson et al.",817,50.6
"43"," normal blood","Abelson et al.",817,63.8
"44"," normal blood","Abelson et al.",817,51.1
"45"," normal blood","Abelson et al.",817,48.1
"46"," normal blood","Abelson et al.",817,55.6
"47"," normal blood","Abelson et al.",817,55.5
"48"," normal blood","Abelson et al.",817,58.6
"49"," normal blood","Abelson et al.",817,64.2
"50"," normal blood","Abelson et al.",817,64.3
"51"," normal blood","Abelson et al.",817,64.8
"52"," normal blood","Abelson et al.",817,49.1
"53"," normal blood","Abelson et al.",817,57.8
"54"," normal blood","Abelson et al.",817,57.7
"55"," normal blood","Abelson et al.",817,60.8
"56"," normal blood","Abelson et al.",817,73.8
"57"," normal blood","Abelson et al.",817,60.4
"58"," normal blood","Abelson et al.",817,49.5
"59"," normal blood","Abelson et al.",817,48.8
"60"," normal blood","Abelson et al.",817,55.9
"61"," normal blood","Abelson et al.",817,55.1
"62"," normal blood","Abelson et al.",817,63.4
"63"," normal blood","Abelson et al.",817,56.9
"64"," normal blood","Abelson et al.",817,56.5
"65"," normal blood","Abelson et al.",817,56.6
"66"," normal blood","Abelson et al.",817,52.6
"67"," normal blood","Abelson et al.",817,52.2
"68"," normal blood","Abelson et al.",817,52.8
"69"," normal blood","Abelson et al.",817,55.7
"70"," normal blood","Abelson et al.",817,48.5
"71"," normal blood","Abelson et al.",817,59.6
"72"," normal blood","Abelson et al.",817,59.3
"73"," normal blood","Abelson et al.",817,59.4
"74"," normal blood","Abelson et al.",817,48.6
"75"," normal blood","Abelson et al.",817,48.9
"76"," normal blood","Abelson et al.",817,64.6
"77"," normal blood","Abelson et al.",817,57
"78"," normal blood","Abelson et al.",817,56.3
"79"," normal blood","Abelson et al.",817,52.9
"80"," normal blood","Abelson et al.",817,56.9
"81"," normal blood","Abelson et al.",817,55.4
"82"," normal blood","Abelson et al.",817,56.2
"83"," normal blood","Abelson et al.",817,52.7
"84"," normal blood","Abelson et al.",817,52.7
"85"," normal blood","Abelson et al.",817,53
"86"," normal blood","Abelson et al.",817,52.2
"87"," normal blood","Abelson et al.",817,56
"88"," normal blood","Abelson et al.",817,55.4
"89"," normal blood","Abelson et al.",817,73.9
"90"," normal blood","Abelson et al.",817,66.1
"91"," normal blood","Abelson et al.",817,66
"92"," normal blood","Abelson et al.",817,66.2
"93"," normal blood","Abelson et al.",817,70.1
"94"," normal blood","Abelson et al.",817,60.5
"95"," normal blood","Abelson et al.",817,49.9
"96"," normal blood","Abelson et al.",817,67.1
"97"," normal blood","Abelson et al.",817,67.1
"98"," normal blood","Abelson et al.",817,55.4
"99"," normal blood","Abelson et al.",817,67.5
"100"," normal blood","Abelson et al.",817,68
"101"," normal blood","Abelson et al.",817,68.7
"102"," normal blood","Abelson et al.",817,44.9
"103"," normal blood","Abelson et al.",817,44.5
"104"," normal blood","Abelson et al.",817,44.2
"105"," normal blood","Abelson et al.",817,63.2
"106"," normal blood","Abelson et al.",817,63.7
"107"," normal blood","Abelson et al.",817,55.8
"108"," normal blood","Abelson et al.",817,55.3
"109"," normal blood","Abelson et al.",817,55.5
"110"," normal blood","Abelson et al.",817,43.5
"111"," normal blood","Abelson et al.",817,56
"112"," normal blood","Abelson et al.",817,56.5
"113"," normal blood","Abelson et al.",817,56.3
"114"," normal blood","Abelson et al.",817,56.5
"115"," normal blood","Abelson et al.",817,43.2
"116"," normal blood","Abelson et al.",817,43.2
"117"," normal blood","Abelson et al.",817,61.1
"118"," normal blood","Abelson et al.",817,56.2
"119"," normal blood","Abelson et al.",817,56.8
"120"," normal blood","Abelson et al.",817,61.5
"121"," normal blood","Abelson et al.",817,61.6
"122"," normal blood","Abelson et al.",817,60.5
"123"," normal blood","Abelson et al.",817,56.5
"124"," normal blood","Abelson et al.",817,60
"125"," normal blood","Abelson et al.",817,60.2
"126"," normal blood","Abelson et al.",817,53.8
"127"," normal blood","Abelson et al.",817,43.3
"128"," normal blood","Abelson et al.",817,61.6
"129"," normal blood","Abelson et al.",817,50.6
"130"," normal blood","Abelson et al.",817,54.4
"131"," normal blood","Abelson et al.",817,54.9
"132"," normal blood","Abelson et al.",817,50.3
"133"," normal blood","Abelson et al.",817,46.4
"134"," normal blood","Abelson et al.",817,46.4
"135"," normal blood","Abelson et al.",817,50.6
"136"," normal blood","Abelson et al.",817,50.6
"137"," normal blood","Abelson et al.",817,62.6
"138"," normal blood","Abelson et al.",817,62.4
"139"," normal blood","Abelson et al.",817,36.7
"140"," normal blood","Abelson et al.",817,36.6
"141"," normal blood","Abelson et al.",817,36.1
"142"," normal blood","Abelson et al.",817,36.2
"143"," normal blood","Abelson et al.",817,58.4
"144"," normal blood","Abelson et al.",817,58.2
"145"," normal blood","Abelson et al.",817,60.6
"146"," normal blood","Abelson et al.",817,60.5
"147"," normal blood","Abelson et al.",817,58.4
"148"," normal blood","Abelson et al.",817,54.9
"149"," normal blood","Abelson et al.",817,54.1
"150"," normal blood","Abelson et al.",817,58.6
"151"," normal blood","Abelson et al.",817,64.2
"152"," normal blood","Abelson et al.",817,64.5
"153"," normal blood","Abelson et al.",817,59
"154"," normal blood","Abelson et al.",817,59.6
"155"," normal blood","Abelson et al.",817,40
"156"," normal blood","Abelson et al.",817,39.2
"157"," normal blood","Abelson et al.",817,50.7
"158"," normal blood","Abelson et al.",817,59.4
"159"," normal blood","Abelson et al.",817,56.3
"160"," normal blood","Abelson et al.",817,56.4
"161"," normal blood","Abelson et al.",817,56.3
"162"," normal blood","Abelson et al.",817,56.3
"163"," normal blood","Abelson et al.",817,50.7
"164"," normal blood","Abelson et al.",817,50.1
"165"," normal blood","Abelson et al.",817,39.2
"166"," normal blood","Abelson et al.",817,50.2
"167"," normal blood","Abelson et al.",817,56.4
"168"," normal blood","Abelson et al.",817,52.2
"169"," normal blood","Abelson et al.",817,55.4
"170"," normal blood","Abelson et al.",817,55.8
"171"," normal blood","Abelson et al.",817,48.2
"172"," normal blood","Abelson et al.",817,68.6
"173"," normal blood","Abelson et al.",817,57
"174"," normal blood","Abelson et al.",817,69
"175"," normal blood","Abelson et al.",817,52.8
"176"," normal blood","Abelson et al.",817,56.2
"177"," normal blood","Abelson et al.",817,52.8
"178"," normal blood","Abelson et al.",817,55.4
"179"," normal blood","Abelson et al.",817,48.4
"180"," normal blood","Abelson et al.",817,69.5
"181"," normal blood","Abelson et al.",817,67.7
"182"," normal blood","Abelson et al.",817,48.9
"183"," normal blood","Abelson et al.",817,58.5
"184"," normal blood","Abelson et al.",817,58.8
"185"," normal blood","Abelson et al.",817,64.8
"186"," normal blood","Abelson et al.",817,46.9
"187"," normal blood","Abelson et al.",817,46.7
"188"," normal blood","Abelson et al.",817,46.9
"189"," normal blood","Abelson et al.",817,46.6
"190"," normal blood","Abelson et al.",817,55.3
"191"," normal blood","Abelson et al.",817,67.3
"192"," normal blood","Abelson et al.",817,69.1
"193"," normal blood","Abelson et al.",817,58.4
"194"," normal blood","Abelson et al.",817,69.6
"195"," normal blood","Abelson et al.",817,69.6
"196"," normal blood","Abelson et al.",817,64.4
"197"," normal blood","Abelson et al.",817,74.4
"198"," normal blood","Abelson et al.",817,55.1
"199"," normal blood","Abelson et al.",817,37
"200"," normal blood","Abelson et al.",817,69.8
"201"," normal blood","Abelson et al.",817,70
"202"," normal blood","Abelson et al.",817,70.8
