annotation,AML_n,AML_freq,mean_age,age_bias,CH_freq,CH_freq_l,CH_freq_h,AML_freq_l,AML_freq_h,OR,annotation1
1+,1,5.52791597567717e-4,59.18138261,0.025442477876106206,3.77559678285962e-6,0,8.785523283192578e-6,1.3995373586393638e-5,0.0030760686864417337,146.49214115530486,
10+,2,0.001105583195135434,43.437371665,-0.5810736026563366,2.3649342486043777e-7,0,7.094802745813134e-7,1.3391930878403516e-4,0.003987983500597161,4680.073457023854,
10p-,1,5.52791597567717e-4,69.87268994,0.625,1.624336418120375e-6,0,3.995494177905291e-6,1.3995373586393638e-5,0.0030760686864417337,340.5060925473841,
11+,20,0.01105583195135434,63.0986995205,0.27227501397428733,3.734106708322701e-8,0,1.1202320124968102e-7,0.0067659037498601195,0.01702341840345889,299386.9834171791,
11-,1,5.52791597567717e-4,17.69472964,-0.9900442477876106,1.2239571988391077e-7,0,2.6771470594946917e-7,1.3995373586393638e-5,0.0030760686864417337,4518.926625543722,
11p+,2,0.001105583195135434,53.42642026,-0.21416712783619257,4.812848646282594e-7,0,1.443854593884778e-6,1.3391930878403516e-4,0.003987983500597161,2299.6907047306445,
11p-,1,5.52791597567717e-4,32.74469541,-0.8008849557522124,1.4427136168350126e-5,8.748934223710334e-6,2.06439311430723e-5,1.3995373586393638e-5,0.0030760686864417337,38.336739812256276,
11q+,1,5.52791597567717e-4,32.89801506,-0.7986725663716814,7.758643938403835e-7,0,2.124291816290248e-6,1.3995373586393638e-5,0.0030760686864417337,712.8783333727698,
11q-,1,5.52791597567717e-4,58.41478439,-0.017699115044247815,4.0778519758610746e-5,3.267919044566563e-5,4.941685700238361e-5,1.3995373586393638e-5,0.0030760686864417337,13.562895218258623,
12+,2,0.001105583195135434,77.06502396,0.8541781959048147,6.733424196596569e-5,5.416394388052518e-5,8.13531676634657e-5,1.3391930878403516e-4,0.003987983500597161,16.436397052793406,12+
12p+,1,5.52791597567717e-4,27.50444901,-0.8761061946902655,3.1885122281622178e-6,6.119785994195538e-7,6.111539841881326e-6,1.3995373586393638e-5,0.0030760686864417337,173.4650965707245,
12p-,5,0.002763957987838585,55.734976044,-0.08957871396895789,7.486883950187016e-6,3.7730036532010633e-6,1.1875029820991073e-5,8.980398089145503e-4,0.0064382748628966716,370.19378060760886,
12q-,2,0.001105583195135434,57.192334020000004,0.016602102933038154,1.2650323726306574e-5,7.330518231776003e-6,1.879308484927693e-5,1.3391930878403516e-4,0.003987983500597161,87.49126778754608,
13+,15,0.008291873963515755,63.63969883466667,0.27071720549981415,0,0,0,0.004648111179385967,0.013639361538703487,Inf,
13q-,1,5.52791597567717e-4,84.94729637,0.9878318584070795,1.763753441083057e-4,1.535112012828731e-4,1.9874889273363577e-4,1.3995373586393638e-5,0.0030760686864417337,3.1353576952263413,13q-
14+,2,0.001105583195135434,67.63723476999999,0.5141117874930825,0,0,0,1.3391930878403516e-4,0.003987983500597161,Inf,
14q+,1,5.52791597567717e-4,51.54004107,-0.3202433628318584,3.831608383484461e-5,2.838683478444869e-5,4.824626641191761e-5,1.3995373586393638e-5,0.0030760686864417337,14.434568913473656,
14q-,1,5.52791597567717e-4,67.42505133,0.5099557522123894,4.077540800302048e-5,2.942211586933116e-5,5.263861315276852e-5,1.3995373586393638e-5,0.0030760686864417337,13.563930306273344,
15+,1,5.52791597567717e-4,40.79671458,-0.6515486725663717,0,0,0,1.3995373586393638e-5,0.0030760686864417337,Inf,
15q-,1,5.52791597567717e-4,47.75906913,-0.4485619469026549,5.4912113649612166e-6,2.3502052721437716e-6,9.317374176162706e-6,1.3995373586393638e-5,0.0030760686864417337,100.72355099779013,
16-,1,5.52791597567717e-4,52.42710472,-0.2820796460176991,0,0,0,1.3995373586393638e-5,0.0030760686864417337,Inf,
16p+,1,5.52791597567717e-4,51.55920602,-0.3163716814159292,2.692705837446037e-6,5.455944801604836e-7,5.490381563470477e-6,1.3995373586393638e-5,0.0030760686864417337,205.40522774997615,
16q+,1,5.52791597567717e-4,41.13894593,-0.6438053097345133,1.1617220870337295e-6,0,2.935422773487013e-6,1.3995373586393638e-5,0.0030760686864417337,476.10070322376725,
16q-,2,0.001105583195135434,55.81382615,0.001660210293303821,1.4768392031416283e-5,8.337378615600684e-6,2.173727240100987e-5,1.3391930878403516e-4,0.003987983500597161,74.94319720728328,
17+,1,5.52791597567717e-4,32.80766598,-0.7997787610619469,2.9250502548527833e-7,0,6.0368058451217e-7,1.3995373586393638e-5,0.0030760686864417337,1890.898053568066,
18+,1,5.52791597567717e-4,76.47638604,0.8495575221238938,1.1691903004503748e-5,6.756243737591875e-6,1.6886512199119165e-5,1.3995373586393638e-5,0.0030760686864417337,47.30546243491587,
18-,2,0.001105583195135434,57.32511978,0.02047592695074707,9.542717143491348e-8,0,2.8628151430474046e-7,1.3391930878403516e-4,0.003987983500597161,11598.444551382307,
19+,5,0.002763957987838585,65.4696783,0.3502217294900222,1.6720500038378317e-6,4.1904975282288095e-7,3.535472976477202e-6,8.980398089145503e-4,0.0064382748628966716,1657.6142966003313,
19p+,1,5.52791597567717e-4,33.68377823,-0.7898230088495575,4.2942227145711067e-7,0,1.1866161317558805e-6,1.3995373586393638e-5,0.0030760686864417337,1288.0028456457612,
1p+,1,5.52791597567717e-4,65.5687885,0.4059734513274336,9.675485382009489e-6,5.4013334909956165e-6,1.4196866254670225e-5,1.3995373586393638e-5,0.0030760686864417337,57.16426327054145,
20p+,1,5.52791597567717e-4,66.63381246,0.459070796460177,7.426723342108483e-7,0,2.228017002632545e-6,1.3995373586393638e-5,0.0030760686864417337,744.738842265289,
20q-,12,0.006633499170812604,66.233858088333335,0.4039139306251159,1.4008328440962044e-4,1.2344363815399597e-4,1.5873361747119376e-4,0.0034321846407738632,0.011558690041926445,47.66350894547803,20q-
21+,18,0.009950248756218905,60.02692219833333,0.11926918543333959,0,0,0,0.00590750799316673,0.015680252930507677,Inf,
21q+,1,5.52791597567717e-4,58.46406571,-0.014380530973451322,1.5767265575892607e-5,1.1949582298674599e-5,2.007808432027848e-5,1.3995373586393638e-5,0.0030760686864417337,35.07828428701419,
22+,9,0.004975124378109453,41.911324056666665,-0.4806172839506173,0,0,0,0.002277391188894752,0.009423238756040897,Inf,
2q+,1,5.52791597567717e-4,53.35249829,-0.24778761061946902,3.064042004551461e-6,7.850440728316769e-7,5.986239816779829e-6,1.3995373586393638e-5,0.0030760686864417337,180.51177157416672,
2q-,1,5.52791597567717e-4,42.98699521,-0.5896017699115044,2.1643297382183748e-5,1.3150797750408158e-5,3.0467613885068343e-5,1.3995373586393638e-5,0.0030760686864417337,25.554579993790973,
